county,year,collections,source
Adams,2024,2656843.71,CountySalesTaxDistributions Tableau workbook
Ashland,2024,1981017.05,CountySalesTaxDistributions Tableau workbook
Barron,2024,6308222.16,CountySalesTaxDistributions Tableau workbook
Bayfield,2024,1859456.02,CountySalesTaxDistributions Tableau workbook
Brown,2024,38237427.86,CountySalesTaxDistributions Tableau workbook
Buffalo,2024,1136693.4,CountySalesTaxDistributions Tableau workbook
Burnett,2024,1754198.26,CountySalesTaxDistributions Tableau workbook
Calumet,2024,5955303.65,CountySalesTaxDistributions Tableau workbook
Chippewa,2024,8685661.11,CountySalesTaxDistributions Tableau workbook
Clark,2024,3087235.75,CountySalesTaxDistributions Tableau workbook
Columbia,2024,6841276.14,CountySalesTaxDistributions Tableau workbook
Crawford,2024,2105073.65,CountySalesTaxDistributions Tableau workbook
Dane,2024,83572798.7,CountySalesTaxDistributions Tableau workbook
Dodge,2024,9262802.99,CountySalesTaxDistributions Tableau workbook
Door,2024,6411692.85,CountySalesTaxDistributions Tableau workbook
Douglas,2024,5798754.53,CountySalesTaxDistributions Tableau workbook
Dunn,2024,5246396.99,CountySalesTaxDistributions Tableau workbook
Eau Claire,2024,14464854.9,CountySalesTaxDistributions Tableau workbook
Florence,2024,400284.81,CountySalesTaxDistributions Tableau workbook
Fond Du Lac,2024,11765196.28,CountySalesTaxDistributions Tableau workbook
Forest,2024,814962.2,CountySalesTaxDistributions Tableau workbook
Grant,2024,5089382.08,CountySalesTaxDistributions Tableau workbook
Green,2024,3846094.49,CountySalesTaxDistributions Tableau workbook
Green Lake,2024,2188846.68,CountySalesTaxDistributions Tableau workbook
Iowa,2024,2588958.0,CountySalesTaxDistributions Tableau workbook
Iron,2024,702033.41,CountySalesTaxDistributions Tableau workbook
Jackson,2024,1953003.0999999999,CountySalesTaxDistributions Tableau workbook
Jefferson,2024,8983397.24,CountySalesTaxDistributions Tableau workbook
Juneau,2024,2594517.72,CountySalesTaxDistributions Tableau workbook
Kenosha,2024,20296119.02,CountySalesTaxDistributions Tableau workbook
Kewaunee,2024,1722134.83,CountySalesTaxDistributions Tableau workbook
La Crosse,2024,17297674.83,CountySalesTaxDistributions Tableau workbook
Lafayette,2024,1416851.0,CountySalesTaxDistributions Tableau workbook
Langlade,2024,2350632.68,CountySalesTaxDistributions Tableau workbook
Lincoln,2024,3086221.37,CountySalesTaxDistributions Tableau workbook
Marathon,2024,17051644.34,CountySalesTaxDistributions Tableau workbook
Marinette,2024,5125731.55,CountySalesTaxDistributions Tableau workbook
Marquette,2024,1441353.39,CountySalesTaxDistributions Tableau workbook
Menominee,2024,131155.79,CountySalesTaxDistributions Tableau workbook
Milwaukee,2024,167580827.67,CountySalesTaxDistributions Tableau workbook
Monroe,2024,5027939.64,CountySalesTaxDistributions Tableau workbook
Oconto,2024,3014473.31,CountySalesTaxDistributions Tableau workbook
Oneida,2024,6963858.8,CountySalesTaxDistributions Tableau workbook
Outagamie,2024,26691063.57,CountySalesTaxDistributions Tableau workbook
Ozaukee,2024,11993351.24,CountySalesTaxDistributions Tableau workbook
Pepin,2024,793900.07,CountySalesTaxDistributions Tableau workbook
Pierce,2024,3436140.81,CountySalesTaxDistributions Tableau workbook
Polk,2024,5062868.05,CountySalesTaxDistributions Tableau workbook
Portage,2024,8399969.96,CountySalesTaxDistributions Tableau workbook
Price,2024,1406713.09,CountySalesTaxDistributions Tableau workbook
Richland,2024,1608716.27,CountySalesTaxDistributions Tableau workbook
Rock,2024,20777211.61,CountySalesTaxDistributions Tableau workbook
Rusk,2024,1382434.47,CountySalesTaxDistributions Tableau workbook
Sauk,2024,12987672.95,CountySalesTaxDistributions Tableau workbook
Sawyer,2024,2959106.93,CountySalesTaxDistributions Tableau workbook
Shawano,2024,4059752.5300000003,CountySalesTaxDistributions Tableau workbook
Sheboygan,2024,14752825.67,CountySalesTaxDistributions Tableau workbook
St. Croix,2024,12373989.62,CountySalesTaxDistributions Tableau workbook
Taylor,2024,1740753.23,CountySalesTaxDistributions Tableau workbook
Trempealeau,2024,2788021.61,CountySalesTaxDistributions Tableau workbook
Vernon,2024,2681132.13,CountySalesTaxDistributions Tableau workbook
Vilas,2024,4026274.58,CountySalesTaxDistributions Tableau workbook
Walworth,2024,15362713.36,CountySalesTaxDistributions Tableau workbook
Washburn,2024,1988072.1800000002,CountySalesTaxDistributions Tableau workbook
Washington,2024,17032330.05,CountySalesTaxDistributions Tableau workbook
Waupaca,2024,5052966.23,CountySalesTaxDistributions Tableau workbook
Waushara,2024,2200040.83,CountySalesTaxDistributions Tableau workbook
Wood,2024,8867890.13,CountySalesTaxDistributions Tableau workbook
