year,class_group,assessed_value,estimated_net_tax_from_rate,estimated_gross_tax_from_rate
2003,Agricultural,1865960041.0,34659321.33707594,37298805.51634107
2003,Commercial,57845557105.0,1256507282.7804258,1332789137.3579025
2003,Industrial,10229136200.0,223024411.50774622,236365102.6027887
2003,Other,16535487140.0,293734836.4059851,315546554.32703644
2003,Residential,230232390442.0,4553665801.645485,4852827109.4356575
2004,Agricultural,1949312268.0,36081736.27025834,38613307.212425694
2004,Commercial,62770568879.0,1337773932.773587,1413763928.3892071
2004,Industrial,10471712100.0,224799350.7205811,237398128.75481442
2004,Other,17065154200.0,301354793.6204734,322338606.4379468
2004,Residential,251563463461.0,4882762017.147195,5183912767.151449
2005,Agricultural,3341238290.0,57714473.52788495,61653142.71598609
2005,Commercial,67929792626.0,1358149773.0502796,1433262112.8866184
2005,Industrial,10726393500.0,216237203.97401783,228082780.3161383
2005,Other,15775711355.0,259317387.68640283,277189315.84721804
2005,Residential,277649308189.0,5029800724.731445,5333749654.586611
2006,Agricultural,3650262711.0,59332302.58857556,64244894.94569402
2006,Commercial,75505414856.0,1422893686.9270492,1519241636.785415
2006,Industrial,11050280800.0,210890079.08363894,224982517.5736023
2006,Other,17097348739.0,263732556.73365662,285885564.6568497
2006,Residential,308934961668.0,5270804253.870487,5660448399.214323
2007,Agricultural,3973471003.0,64259375.85491797,69859130.25851664
2007,Commercial,80466660956.0,1516856932.9174051,1626791862.2097092
2007,Industrial,11383743400.0,217183141.90943685,232654792.65590882
2007,Other,18290175052.0,280366053.9023656,305325413.39737374
2007,Residential,329866442030.0,5596075001.513711,6041263567.7437315
2008,Agricultural,4305946795.0,69369203.30171645,75797315.0102165
2008,Commercial,84964817135.0,1621004938.026715,1745928719.0851576
2008,Industrial,11936511800.0,229548530.49636638,246864718.10693505
2008,Other,19384332563.0,295858569.19194275,323971329.9598597
2008,Residential,343898103964.0,5858628994.054513,6358539397.106812
2009,Agricultural,4498802263.0,76759870.9378298,83470263.13921782
2009,Commercial,87911947712.0,1762748029.1683817,1892604231.0110776
2009,Industrial,12094719300.0,244157895.85697377,261668943.80711314
2009,Other,20058733042.0,324673259.2098202,353782032.0094763
2009,Residential,349890323388.0,6259229483.260153,6769768847.436519
2010,Agricultural,4674153938.0,84002938.69474322,91239331.53948055
2010,Commercial,87360315099.0,1858516445.30196,1991832578.8292608
2010,Industrial,12346225100.0,263742101.56162015,282145112.73287916
2010,Other,20484377534.0,350187350.02853936,380963638.11401683
2010,Residential,350725477565.0,6644859339.176125,7172416967.229534
2011,Agricultural,4772884015.0,86967883.33134392,94559041.69796869
2011,Commercial,87595495198.0,1912284143.0450187,2048602690.2163653
2011,Industrial,12502893700.0,273165747.687859,292105834.89044327
2011,Other,20680966509.0,357900754.2626185,389798412.10998785
2011,Residential,350153435385.0,6761495958.364133,7297267980.37672
2012,Agricultural,4814289447.0,90147097.2911994,98013679.59756456
2012,Commercial,87609894111.0,1998922129.9552388,2139746149.1880682
2012,Industrial,12908948800.0,293150068.08407146,313344634.5754891
2012,Other,20731250565.0,369629133.3449176,402456915.4873412
2012,Residential,343691149276.0,6898544488.186029,7441701623.778405
2013,Agricultural,4823108805.0,92358146.07933587,100239437.58118871
2013,Commercial,88528355405.0,2061593234.8401709,2204894581.0577044
2013,Industrial,13349353400.0,307617575.93401796,328591675.9433874
2013,Other,20612487804.0,377190163.8672885,409887024.0522698
2013,Residential,340444930812.0,6977186188.753646,7519552900.647041
2014,Agricultural,4803415473.0,87846872.18381017,95613270.38372901
2014,Commercial,89882484207.0,2004625936.6571193,2146283315.0976043
2014,Industrial,13381171900.0,294944402.1014943,315462166.9673377
2014,Other,20585102423.0,359681633.8152594,391966544.826313
2014,Residential,340919223597.0,6651270562.996067,7180882293.929033
2015,Agricultural,4783982814.0,85784082.28853698,94422547.49107407
2015,Commercial,92200882534.0,2038606719.0200746,2200440560.5107675
2015,Industrial,13622885500.0,297625516.3845314,320946644.21167666
2015,Other,20555182638.0,353800240.4640956,389902208.6512944
2015,Residential,343495081107.0,6633655037.345741,7228357536.000568
2016,Agricultural,4793447321.0,85004219.18225071,93446012.03201987
2016,Commercial,95466852026.0,2086177032.529848,2248677865.13811
2016,Industrial,13878144300.0,298778493.4106826,321872070.95280886
2016,Other,20605101443.0,351062126.92828643,386518900.61915046
2016,Residential,347964298016.0,6645566103.120683,7230979487.235443
2017,Agricultural,4810908625.0,83342134.34646432,92423372.29179274
2017,Commercial,100083554690.0,2133841650.6465724,2314130726.7686987
2017,Industrial,13964138100.0,293493037.36668503,318081397.6399124
2017,Other,20698087513.0,344426555.6990089,382559769.6453333
2017,Residential,355812648967.0,6615528769.712652,7248740705.114559
2018,Agricultural,4862929311.0,82644520.14720502,91530125.99291554
2018,Commercial,104741407883.0,2165168573.992152,2345085700.2393575
2018,Industrial,14334830100.0,293441065.3000952,317512605.58996296
2018,Other,20836312941.0,341336897.1714331,378473523.69152176
2018,Residential,366997233939.0,6663748464.84162,7289483746.455882
2019,Agricultural,4938409954.0,83113823.74464114,91753770.90687503
2019,Commercial,109516171781.0,2232130241.2341533,2409258434.719299
2019,Industrial,14863264100.0,298310778.96663064,321827192.5959172
2019,Other,21111855379.0,341939758.6435281,377859143.3615084
